,url,description,neighborhood,price,bedrooms
3,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-when-minutes-matter-live/7085356738.html,"When Minutes Matter, Live Where You Work and Play",soma/south beach,3790.0,1.0
5,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-in-building/7082744862.html,Studio in a Building w/Amazing Amenities,san francisco,2200.0,1.0
6,https://sfbay.craigslist.org/sby/apa/d/mountain-view-2x1-in-sunny-location/7085356573.html,2x1 in Sunny Location!  Call for more info,mountain view,3240.0,2.0
9,https://sfbay.craigslist.org/pen/apa/d/mountain-view-1-bed-1-bath-bring-your/7085356289.html,1 Bed x 1 Bath ! Bring your furry pal along!,mountain view,2990.0,1.0
12,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3000-off-march-rent-if/7085355974.html,$3000 Off March rent if moving in by 3/6!! Come tour with us today!,soma/south beach,6596.0,2.0
16,https://sfbay.craigslist.org/sby/apa/d/san-jose-amazing-lofts-with-2-months/7080035247.html,AMAZING LOFTS WITH 2 MONTHS FREE + $1500 LOOK&LEASE + FREE INTERNET!,san jose,3330.0,2.0
17,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sweet-home-with-3-brs-2bas/7085355326.html,"Sweet home with 3 BRs, 2BAs",san francisco,3400.0,3.0
18,https://sfbay.craigslist.org/pen/apa/d/mountain-view-3-bedx25-bath-town-home/7085352077.html,3 Bedx2.5 Bath TOWN HOME Near Downtown Mountain View!,mountain view,4800.0,3.0
19,https://sfbay.craigslist.org/sby/apa/d/san-jose-2-months-free-look-lease-on/7080422098.html,2 MONTHS FREE + $1500 LOOK & LEASE ON THIS SPACIOUS 1BD/1BA!,san jose,2747.0,1.0
21,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3000-off-march-rent-if/7085344875.html,$3000 Off March rent if moving in by 3/6!! Come tour with us today!,soma/south beach,5199.0,2.0
24,https://sfbay.craigslist.org/eby/apa/d/berkeley-bright-cheerful-cottage-with/7067398638.html,"BRIGHT CHEERFUL COTTAGE With Large YARD, CARPORT",berkeley,2300.0,1.0
26,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-move-in-now-new-community/7085354138.html,"Move In Now, New Community, Outdoor Pool",sunnyvale,4851.0,3.0
27,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-house-excellent/7085354118.html,**GORGEOUS HOUSE** - Excellent Location - Steps to Valencia St + BART,san francisco,6200.0,2.0
30,https://sfbay.craigslist.org/pen/apa/d/mountain-view-ac-wood-floors-pools-near/7085353853.html,"AC, Wood floors, Pools, near Facebook and Google Shuttle",mountain view,4880.0,3.0
31,https://sfbay.craigslist.org/pen/apa/d/los-altos-one-month-free-gorgeous-2/7085353792.html,ONE MONTH FREE! Gorgeous 2 Bedroom Ready NOW with In Home Washer/Dryer,mountain view,4331.0,2.0
32,https://sfbay.craigslist.org/eby/apa/d/fremont-two-bedroom-available-for-march/7079786432.html,Two Bedroom Available for March Move!  Hurry In!  These Rent Quickly!,fremont/union city/newark,2350.0,2.0
34,https://sfbay.craigslist.org/eby/apa/d/fremont-1br-available-3-07-includes/7085353242.html,1br available 3/07 includes washer and dryer (Union City),fremont/union city/newark,2269.0,1.0
36,https://sfbay.craigslist.org/eby/apa/d/fremont-most-popular-floor-plan/7085352800.html,Most Popular Floor Plan!  Available For March And April,fremont/union city/newark,1950.0,1.0
38,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-move-in-now-on-site/7085352108.html,"Move In Now, On Site Parking, Pet Friendly #402",san francisco,4110.0,1.0
40,https://sfbay.craigslist.org/sby/apa/d/san-jose-modern-2bed-2bath-apartment/7085351725.html,Modern 2Bed 2Bath Apartment Home available Now!!,san jose,3687.0,2.0
43,https://sfbay.craigslist.org/sby/apa/d/san-jose-call-for-details-in-home/7085351600.html,"Call for Details, In Home Laundry, Shimmering Pool",san jose,2990.0,1.0
45,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-fitness-center-call-for/7085351270.html,"Fitness Center, Call for Details, Schedule a Tour",sunnyvale,4185.0,2.0
46,https://sfbay.craigslist.org/eby/apa/d/livermore-3x15-bedroom-resort-inspired/7085351180.html,"3x1.5 Bedroom, Resort-Inspired Pool, Plank Vinyl Flooring, Playground",dublin/pleasanton/livermore,2812.0,3.0
47,https://sfbay.craigslist.org/sby/apa/d/san-jose-beautiful-spacious-2bed-2bath/7085351182.html,Beautiful Spacious 2Bed 2Bath with pool view avail 4/4!,san jose,3492.0,2.0
53,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-experience-the-peartree/7085350612.html,Experience the Peartree Apartments Lifestyle,sunnyvale,4160.0,2.0
56,https://sfbay.craigslist.org/sby/apa/d/san-jose-charming-one-bed-one-bath/7085350378.html,Charming One Bed One Bath Apartment Home with Courtyard View!!,san jose,2929.0,1.0
58,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-jasper-your-spacious/7085349933.html,Jasper | Your Spacious Studio Home! TWO WEEKS FREE!!!,soma/south beach,3580.0,1.0
60,https://sfbay.craigslist.org/sby/apa/d/san-jose-sunny-beautiful-spacious-2bed/7085349682.html,Sunny Beautiful Spacious 2Bed 2Baths with pool view avail Now!!,san jose,3542.0,2.0
62,https://sfbay.craigslist.org/eby/apa/d/dublin-two-bed-available-in-gated/7085349500.html,Two Bed available in a Gated Community and Pet Friendly!,dublin/pleasanton/livermore,2915.0,2.0
63,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-your-new-home-is-here-at-the/7085349311.html,"Your new home is here at the grove, 1 bed 1 bath available now",sunnyvale,3449.0,2.0
68,https://sfbay.craigslist.org/sby/apa/d/san-jose-sunny-spacious-one-bedroom-one/7085349081.html,Sunny Spacious One bedroom One bath Top floor with Courtyard view!,san jose,2806.0,1.0
74,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-apartment-for-rent-washer/7081492861.html,Apartment for rent. Washer/Dryer in Unit.,santa rosa,1720.0,2.0
77,https://sfbay.craigslist.org/sby/apa/d/san-jose-brand-new-one-two-bedroom/7085347767.html,Brand New One & Two Bedroom Homes! Call Now for Specials!,san jose,4535.0,2.0
78,https://sfbay.craigslist.org/eby/apa/d/fremont-2-bedroom-town-home-granite/7085347712.html,2 Bedroom Town home W/ Granite Counter Tops in the Heart of Fremont!!,fremont/union city/newark,2600.0,2.0
79,https://sfbay.craigslist.org/eby/apa/d/oakland-large-2-bedroom-2-bath-near/7083754478.html,"Large 2 Bedroom, 2 Bath Near Lake Merritt",oakland/grand,2700.0,2.0
80,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-brand-new-home-in-santa-clara/7085346838.html,Brand new home in Santa Clara 4Br/3.5Bath,santa clara,6400.0,4.0
81,https://sfbay.craigslist.org/pen/apa/d/mountain-view-move-in-now-newly/7085346286.html,"Move In Now, Newly Renovated, Close to Castro Street",mountain view,3862.0,2.0
82,https://sfbay.craigslist.org/sby/apa/d/san-jose-2-car-garage-beautiful/7085331831.html,2-Car Garage! Beautiful Townhouse Style Home Available Soon!,san jose,3552.0,2.0
85,https://sfbay.craigslist.org/sby/apa/d/santa-clara-if-you-love-bright-natural/7085322627.html,"If you love BRIGHT, NATURAL LIGHT then you'll love our selection",santa clara,3625.0,2.0
